ZIP,COUNTY,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00501,36103,HOLTSVILLE,NY,0.000000000,1.000000000,0.000000000,1.000000000
00601,72113,ADJUNTAS,PR,0.160200901,0.199017199,0.128834356,0.161885246
00601,72001,ADJUNTAS,PR,0.839799099,0.800982801,0.871165644,0.838114754
00602,72003,AGUADA,PR,1.000000000,0.998798077,1.000000000,0.999919743
00602,72005,AGUADA,PR,0.000000000,0.001201923,0.000000000,0.000080257
00603,72071,AGUADILLA,PR,0.000277362,0.000000000,0.000000000,0.000254039
00603,72005,AGUADILLA,PR,0.997170910,0.998168498,1.000000000,0.997307184
00603,72099,AGUADILLA,PR,0.002551728,0.001831502,0.000000000,0.002438777
00604,72005,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00605,72005,AGUADILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00606,72093,MARICAO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00610,72011,ANASCO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00611,72141,ANGELES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00612,72017,ARECIBO,PR,0.000428688,0.000000000,0.000000000,0.000378029
00612,72054,ARECIBO,PR,0.003172290,0.000403714,0.000000000,0.002835217
00612,72065,ARECIBO,PR,0.002229176,0.000000000,0.000000000,0.001965751
00612,72141,ARECIBO,PR,0.000943113,0.000403714,0.003081664,0.000945072
00612,72013,ARECIBO,PR,0.993226733,0.999192572,0.996918336,0.993875931
00613,72013,ARECIBO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00614,72013,ARECIBO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00616,72013,BAJADERO,PR,1.000000000,1.000000000,1.000000000,1.000000000
00617,72091,BARCELONETA,PR,0.071725668,0.045383412,0.000000000,0.069576491
00617,72017,BARCELONETA,PR,0.897587577,0.953051643,1.000000000,0.901642178
00617,72054,BARCELONETA,PR,0.030686755,0.001564945,0.000000000,0.028781331
00622,72023,BOQUERON,PR,1.000000000,1.000000000,1.000000000,1.000000000
00623,72097,CABO ROJO,PR,0.000837197,0.000000000,0.000000000,0.000781156
00623,72023,CABO ROJO,PR,0.999162803,1.000000000,1.000000000,0.999218844
00624,72059,PENUELAS,PR,0.000000000,0.020100503,0.000000000,0.001009082
00624,72113,PENUELAS,PR,0.001067378,0.000000000,0.000000000,0.001009082
00624,72111,PENUELAS,PR,0.998932622,0.979899497,1.000000000,0.997981837
00627,72027,CAMUY,PR,1.000000000,1.000000000,1.000000000,1.000000000
00631,72081,CASTANER,PR,0.000000000,0.000000000,1.000000000,1.000000000
00637,72121,SABANA GRANDE,PR,1.000000000,1.000000000,1.000000000,1.000000000
00638,72039,CIALES,PR,0.999369781,0.990291262,1.000000000,0.998956314
00638,72107,CIALES,PR,0.000630219,0.009708738,0.000000000,0.001043686
00641,72113,UTUADO,PR,0.027992179,0.004594181,0.290909091,0.030659706
00641,72141,UTUADO,PR,0.972007821,0.995405819,0.709090909,0.969340294
00646,72051,DORADO,PR,0.968499623,0.988396624,1.000000000,0.969973225
00646,72137,DORADO,PR,0.004588098,0.005274262,0.000000000,0.004590080
00646,72143,DORADO,PR,0.017462165,0.004219409,0.000000000,0.016511539
00646,72135,DORADO,PR,0.009450113,0.002109705,0.000000000,0.008925156
00647,72121,ENSENADA,PR,0.008039047,0.000000000,0.000000000,0.007786429
00647,72055,ENSENADA,PR,0.991960953,1.000000000,1.000000000,0.992213571
00650,72013,FLORIDA,PR,0.134155318,0.006211180,0.148148148,0.130558520
00650,72054,FLORIDA,PR,0.856275304,0.993788820,0.851851852,0.860192102
00650,72017,FLORIDA,PR,0.004600662,0.000000000,0.000000000,0.004446816
00650,72091,FLORIDA,PR,0.004968715,0.000000000,0.000000000,0.004802561
00652,72013,GARROCHALES,PR,1.000000000,1.000000000,1.000000000,1.000000000
00653,72055,GUANICA,PR,0.995117845,1.000000000,1.000000000,0.995403392
00653,72153,GUANICA,PR,0.004882155,0.000000000,0.000000000,0.004596608
00656,72059,GUAYANILLA,PR,1.000000000,1.000000000,1.000000000,1.000000000
00659,72065,HATILLO,PR,0.991410724,0.997619048,1.000000000,0.991907051
00659,72013,HATILLO,PR,0.008589276,0.002380952,0.000000000,0.008092949
00660,72067,HORMIGUEROS,PR,0.995467174,0.996666667,1.000000000,0.995569094
00660,72097,HORMIGUEROS,PR,0.004532826,0.003333333,0.000000000,0.004430906
00662,72005,ISABELA,PR,0.001939915,0.002941176,0.000000000,0.001982304
00662,72115,ISABELA,PR,0.001205893,0.000735294,0.000000000,0.001160373
00662,72099,ISABELA,PR,0.009804436,0.005882353,0.000000000,0.009428033
00662,72071,ISABELA,PR,0.987049756,0.990441176,1.000000000,0.987429290
00664,72073,JAYUYA,PR,1.000000000,1.000000000,1.000000000,1.000000000
